AXP,AMGN,AAPL,BA,CAT,CSCO,CVX,GS,HD,HON,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,CRM,VZ,V,WBA,WMT,DIS
2928100,2344100,78336300,12154200,2275900,18780600,12827600,2096200,12425900,2723900,4372900,28596600,5751100,21300600,11160200,3204900,2106800,17582800,28828800,6026100,6509100,1300800,2289000,7317700,22043100,7265600,7089800,44313400,11847600
2697700,3376800,109742900,9567600,4723300,40672700,13107500,2033200,7799500,3185900,6003000,35218400,8608800,31437300,12664900,3946100,2958700,12717600,31356000,8188300,9670700,1094300,3240500,7454400,22365100,8748200,15164100,34751000,11794000
2768300,2414200,136095600,8075800,2887700,97674600,10958700,2108800,5211500,3126200,5819700,29181000,6874500,31493900,12765800,3518300,2746700,11121600,32692300,7702000,9694100,1110900,3813800,8382200,23186400,9012400,8323600,23669500,11285000
2982500,3860500,137426100,18822200,5404500,46148700,9615000,2201100,5621800,3884100,6914500,44802300,7522100,29133800,13150100,3208200,4195400,11757100,39199300,7621900,7786900,1959700,3068200,9068700,24181800,6966600,7370400,16452000,15650400
2726600,2272600,117726300,9341500,3246600,27366600,10216400,2653000,4305600,3726000,3591500,27199500,7040800,19406900,24376700,3053500,2836100,9067000,33175400,7136400,7134500,1453600,2279800,6148800,16761800,12187400,6888700,14560300,14402400
2817800,2667300,104132700,9092400,2467800,30053900,9782700,1870900,4241900,2842400,4189700,29837500,6419800,16154200,19324900,5258200,2638800,9021000,29043900,6023400,7207400,1008100,2658100,6928400,25414700,7458500,5290600,11528300,13970200
4381000,3538400,92482700,7707900,3080200,25504600,10174500,1929500,4612900,2512000,3299300,26283100,6558900,15360500,12780400,2641700,1876900,11177700,28547900,7158800,8217800,1192300,3161600,7436800,19831500,5457200,5544100,9040600,11026600
2463900,2222300,90601500,8333900,2016000,28294700,11213900,2440400,4170800,2238600,3929300,28826700,6897600,16159800,15990900,1972300,2127300,17249500,25002100,6520300,5702600,943100,2705800,6697700,15500400,9212300,7261800,9399200,11297800
2157500,2678900,90978500,7261500,2020400,23882100,10512300,2106700,3899300,2246400,4608000,30553300,5853600,17709000,11177800,2063800,1776700,9802000,26910800,5043000,6028800,943400,3349100,7883600,13347300,4897200,4928600,8433300,13671300
4123500,6737500,103718400,7953700,3773500,64821200,20547600,2722900,5966600,3503400,7978100,41111500,16391400,43159000,17015000,3924700,4144000,22860800,37827700,13774600,12416700,1948400,4003100,18114600,25016600,9586400,8192000,12304100,20274600
2276400,2664600,74286600,9991600,2314000,20666000,8824100,2330200,3080800,2361300,3796500,29885500,5175400,15408300,10768000,2264100,2410400,10492500,25292200,5543100,7036000,1084600,1765900,37037400,15358100,5246100,4691000,9511600,11829700
1707000,3916200,72348100,12777000,1784100,20546800,7441900,1957500,4086400,2510600,3734800,28727600,8666500,14586000,8374800,2089700,1901400,11066200,44008200,5838100,6479800,868900,2093500,19231200,13527800,5337200,4860000,7738100,8829900
1390700,2086500,88570300,10091800,2222500,17947000,8435300,1238900,2956600,2254900,4352200,33174700,4234200,13539900,8596000,1838900,1876300,7051600,28059000,5201500,4720700,1141200,1756900,9224000,10819800,4352500,4011900,6100900,6767600
1486000,2413700,71598400,6354800,1565400,12641900,6734200,1099700,2562000,1586200,4766900,25437100,5386500,15112800,11323500,1569300,1575600,8336900,22400300,3963400,4751100,753300,1781500,5811700,12898100,3965100,3611400,6618500,7575900
2083100,2693800,67808200,5436100,1799000,14667200,9668300,2516800,3547800,2130100,2887100,25168700,5447800,17886300,6722200,2782000,1805300,10243300,22860700,5373600,4918600,944500,2341900,6331100,15383000,4493300,4087000,15902600,7279100
2313900,2353900,53950200,5833700,4171300,16263800,8715200,1438100,3003100,1688800,3005700,59649900,4333100,10211500,8422100,2101300,1711400,10266000,17372300,4365800,4369600,669700,3268100,6226200,13249700,3646300,3291000,7507600,7019500
2273800,2695200,69473000,6010100,3045700,18417700,9764600,2896500,4168400,1674800,3591000,39047200,5509600,13382200,13560100,2682600,2168300,7381100,26439700,3892600,4625700,809700,3148800,8467700,12078400,5138600,5207300,6626700,8261200
2733300,2910900,91437900,7770700,2604100,20262400,9529700,3866900,4623900,2878700,4659500,43066200,6647300,14967600,12945200,1992300,5883900,8861600,31422800,6292600,6630800,1182000,2599900,7855800,19868500,5162500,6056600,8412700,15369700
4156500,4462300,122207100,16778500,3559400,29050800,14614900,4218100,4704600,4764300,6486000,50335900,7997000,23064200,16805600,4697000,4116000,12016100,46135800,6423100,8549500,1784800,3764600,10726200,23762500,7119200,6696700,8299300,15239700
